,57,,1921,,3335,,,,,0.0254,,,
shot,57t1,57t2,1921t1,1921t2,3335t1,3335t2,57dt1,1921dt2,3335dt3,57v,1921v,3335v,flag
0,,,,,,,0.389168694,0.504971508,0.633216408,65.26732592,50.29986761,40.11266874,0
1,,,,,,,0.294970265,0.490947791,0.519214006,86.11037447,51.73666216,48.92009793,0
2,,,,,,,0.307421441,0.409586622,0.550749784,82.62273415,62.0137442,46.11894684,0
3,,,,,,,0.403250459,0.284276485,0.55709672,62.98814895,89.34963433,45.59351919,0
4,,,,,,,0.353430622,0.492951027,0.565185952,71.86700423,51.52641665,44.94096133,0
5,,,,,,,0.335597613,0.456126804,0.475534696,75.68587807,55.6862692,53.41355789,0
6,,,,,,,0.459411537,0.428504635,0.438655541,55.28811961,59.27590489,57.90420415,0
7,,,,,,,0.405609367,0.431165249,0.498276379,62.62182798,58.91012795,50.97572561,0
8,,,,,,,0.366085448,0.473283024,0.585651765,69.38270876,53.66767607,43.37048317,0
9,,,,,,,0.42792362,0.478453773,0.597419166,59.356387,53.08767835,42.51621214,0
10,,,,,,,0.318446111,0.367637153,0.494738205,79.76231818,69.08986159,51.34028407,0
11,,,,,,,0.379370158,0.39500822,0.569343664,66.95307857,64.30245937,44.61277365,0
12,,,,,,,0.319850093,0.49658395,0.601209544,79.4122015,51.14945822,42.24816499,0
13,,,,,,,0.31219687,0.516171356,0.538553965,81.35891944,49.20846481,47.16333299,0
14,,,,,,,0.316488475,0.396934606,0.490247646,80.2556871,63.99038936,51.81054963,0
15,,,,,,,0.31052777,0.419696255,0.619631817,81.79622712,60.51995862,40.99208482,0
16,,,,,,,0.236454005,0.481329358,0.45919222,107.4204686,52.77051897,55.31452606,0
17,,,,,,,0.474002187,0.345564777,0.621217884,53.58625062,73.5028617,40.8874256,0
18,,,,,,,0.293212995,0.447373088,0.590421329,86.62644714,56.77587831,43.02012607,0
19,,,,,,,0.40414695,0.500564683,0.56922781,62.84842683,50.74269291,44.62185363,0
20,,,,,,,0.272471173,0.318257949,0.561428156,93.22087059,79.80947565,45.24176374,0
21,,,,,,,0.40243161,0.504566764,0.542383366,63.11631428,50.34021625,46.83034476,0
22,,,,,,,0.427509727,0.493544656,0.550948328,59.41385288,51.46444133,46.10232705,0
23,,,,,,,0.267572022,0.35261177,0.637327667,94.92771273,72.03389731,39.85391084,0
24,,,,,,,0.382674327,0.491126756,0.610781817,66.37497793,51.7178095,41.58604481,0
25,,,,,,,0.35438708,0.451830552,0.606962861,71.67304186,56.21576465,41.84770048,0
26,,,,,,,0.398971299,0.46666806,0.590229902,63.66372732,54.4284089,43.03407859,0
27,,,,,,,0.301203732,0.420066404,0.602011991,84.32830448,60.46663039,42.19185066,0
28,,,,,,,0.366537399,0.458480184,0.541895015,69.29715794,55.40043143,46.87254777,0
