,57,,1921,,3335,,,,,0.0254,,,
shot,57t1,57t2,1921t1,1921t2,3335t1,3335t2,57dt1,1921dt2,3335dt3,57v,1921v,3335v,flag
79,,,,,,,0.278752617,0.351567146,0.587308764,91.12022061,72.2479341,43.24812014,0
80,,,,,,,0.359970024,0.38105506,0.613143021,70.56143096,66.65703375,41.4258976,0
81,,,,,,,0.431803391,0.481955577,0.611079097,58.82306744,52.70195267,41.56581387,0
82,,,,,,,0.241274039,0.438803341,0.574032781,105.2744841,57.88470059,44.24834405,0
83,,,,,,,0.464260481,0.477717511,0.550428298,54.71066576,53.16949751,46.14588332,0
84,,,,,,,0.212084395,0.410041691,0.52087204,119.7636442,61.94492058,48.76437594,0
85,,,,,,,0.451172969,0.43148867,0.573344093,56.29769903,58.86597204,44.30149416,0
86,,,,,,,0.428012656,0.412689609,0.569077689,59.34403952,61.54746671,44.63362469,0
87,,,,,,,0.310185366,0.476105959,0.525918308,81.88651951,53.34946884,48.29647424,0
88,,,,,,,0.29615008,0.368452948,0.559672021,85.76732459,68.93688905,45.38372303,0
89,,,,,,,0.301029621,0.321219319,0.500814456,84.37707863,79.07369982,50.71738583,0
90,,,,,,,0.320500825,0.484358311,0.558876593,79.25096604,52.44051651,45.44831601,0
91,,,,,,,0.322745883,0.50479728,0.5901674,78.69968708,50.31722836,43.03863616,0
92,,,,,,,0.384258113,0.540485117,0.546191081,66.10140195,46.99481856,46.50387175,0
93,,,,,,,0.414793167,0.519353968,0.576847053,61.23533858,48.90691429,44.03246903,0
